Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Date,Request Time,Drop Date,Drop Time,Request hour,Time Slot,Availability
2211,Airport,3.0,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,2016-07-12,18:00:00,2016-07-12,18:28:00,18,Evening,Y
3096,Airport,3.0,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,2016-07-13,08:17:29,2016-07-13,09:22:37,8,Morning,Y
3881,Airport,3.0,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,2016-07-13,21:54:18,2016-07-13,22:51:23,21,Night,Y
5254,City,3.0,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,2016-07-14,21:23:03,2016-07-14,22:25:19,21,Night,Y
5434,City,3.0,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2016-07-15,02:41:38,2016-07-15,03:24:43,2,Early Morning,Y
5916,City,3.0,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,2016-07-15,10:00:43,2016-07-15,10:53:06,10,Late Morning,Y
669,City,4.0,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00,2016-07-11,13:08:00,2016-07-11,13:49:00,13,Afternoon,Y
1567,Airport,4.0,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00,2016-07-12,06:21:00,2016-07-12,07:10:00,6,Morning,Y
1826,City,4.0,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00,2016-07-12,09:27:00,2016-07-12,10:27:00,9,Late Morning,Y
2102,City,4.0,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00,2016-07-12,16:09:00,2016-07-12,17:01:00,16,Afternoon,Y
2847,Airport,4.0,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,2016-07-13,05:34:20,2016-07-13,06:09:59,5,Morning,Y
3722,Airport,4.0,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,2016-07-13,19:57:59,2016-07-13,20:32:04,19,Evening,Y
4075,City,4.0,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2016-07-14,02:17:35,2016-07-14,03:21:38,2,Early Morning,Y
4686,City,4.0,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,2016-07-14,13:01:10,2016-07-14,13:45:28,13,Afternoon,Y
5771,Airport,4.0,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,2016-07-15,08:30:06,2016-07-15,09:37:20,8,Morning,Y
6106,Airport,4.0,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,2016-07-15,15:01:20,2016-07-15,15:47:31,15,Afternoon,Y
312,City,5.0,Trip Completed,2016-07-11 07:27:00,2016-07-11 08:31:00,2016-07-11,07:27:00,2016-07-11,08:31:00,7,Morning,Y
577,Airport,5.0,Trip Completed,2016-07-11 11:03:00,2016-07-11 12:01:00,2016-07-11,11:03:00,2016-07-11,12:01:00,11,Late Morning,Y
1179,City,5.0,Trip Completed,2016-07-11 20:58:00,2016-07-11 21:45:00,2016-07-11,20:58:00,2016-07-11,21:45:00,20,Evening,Y
1756,Airport,5.0,Trip Completed,2016-07-12 08:40:00,2016-07-12 09:23:00,2016-07-12,08:40:00,2016-07-12,09:23:00,8,Morning,Y
2052,City,5.0,Trip Completed,2016-07-12 14:48:00,2016-07-12 15:50:00,2016-07-12,14:48:00,2016-07-12,15:50:00,14,Afternoon,Y
2559,City,5.0,Trip Completed,2016-07-12 21:32:00,2016-07-12 22:29:00,2016-07-12,21:32:00,2016-07-12,22:29:00,21,Night,Y
3014,City,5.0,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,2016-07-13,07:28:14,2016-07-13,08:29:47,7,Morning,Y
3317,City,5.0,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,2016-07-13,12:14:27,2016-07-13,12:46:38,12,Afternoon,Y
4297,City,5.0,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,2016-07-14,06:43:01,2016-07-14,07:49:38,6,Morning,Y
5857,Airport,5.0,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,2016-07-15,09:08:50,2016-07-15,10:07:07,9,Late Morning,Y
6690,Airport,5.0,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,2016-07-15,22:41:41,2016-07-15,23:51:00,22,Night,Y
1517,Airport,6.0,Trip Completed,2016-07-12 05:45:00,2016-07-12 06:28:00,2016-07-12,05:45:00,2016-07-12,06:28:00,5,Morning,Y
1999,Airport,6.0,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:51:00,2016-07-12,13:02:00,2016-07-12,13:51:00,13,Afternoon,Y
2960,Airport,6.0,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,2016-07-13,06:50:33,2016-07-13,07:40:35,6,Morning,Y
3882,City,6.0,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,2016-07-13,21:53:03,2016-07-13,22:45:24,21,Night,Y
4081,Airport,6.0,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,2016-07-14,02:37:14,2016-07-14,03:30:27,2,Early Morning,Y
4740,City,6.0,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,2016-07-14,14:50:07,2016-07-14,15:38:14,14,Afternoon,Y
5270,City,6.0,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,2016-07-14,21:33:55,2016-07-14,22:25:43,21,Night,Y
6758,Airport,6.0,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,2016-07-15,00:03:39,2016-07-15,01:07:39,0,Early Morning,Y
5741,City,6.0,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,2016-07-15,07:52:51,2016-07-15,08:38:55,7,Morning,Y
6087,Airport,6.0,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,2016-07-15,14:28:50,2016-07-15,15:33:53,14,Afternoon,Y
1039,City,7.0,Trip Completed,2016-07-11 19:31:00,2016-07-11 20:41:00,2016-07-11,19:31:00,2016-07-11,20:41:00,19,Evening,Y
1273,Airport,7.0,Trip Completed,2016-07-11 22:07:00,2016-07-11 23:12:00,2016-07-11,22:07:00,2016-07-11,23:12:00,22,Night,Y
2480,City,7.0,Trip Completed,2016-07-12 20:39:00,2016-07-12 21:28:00,2016-07-12,20:39:00,2016-07-12,21:28:00,20,Evening,Y
4105,City,7.0,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,2016-07-14,03:39:38,2016-07-14,04:39:04,3,Early Morning,Y
4509,City,7.0,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,2016-07-14,09:11:13,2016-07-14,10:17:01,9,Late Morning,Y
4986,Airport,7.0,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,2016-07-14,18:52:32,2016-07-14,19:50:57,18,Evening,Y
5898,City,7.0,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,2016-07-15,09:50:28,2016-07-15,10:40:39,9,Late Morning,Y
6142,Airport,7.0,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,2016-07-15,15:50:15,2016-07-15,16:36:56,15,Afternoon,Y
380,Airport,8.0,Trip Completed,2016-07-11 08:18:00,2016-07-11 09:18:00,2016-07-11,08:18:00,2016-07-11,09:18:00,8,Morning,Y
1050,Airport,8.0,Trip Completed,2016-07-11 19:39:00,2016-07-11 20:30:00,2016-07-11,19:39:00,2016-07-11,20:30:00,19,Evening,Y
1769,City,8.0,Trip Completed,2016-07-12 08:57:00,2016-07-12 09:24:00,2016-07-12,08:57:00,2016-07-12,09:24:00,8,Morning,Y
2520,City,8.0,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:20:00,2016-07-12,21:05:00,2016-07-12,22:20:00,21,Night,Y
3265,Airport,8.0,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,2016-07-13,10:22:07,2016-07-13,11:07:02,10,Late Morning,Y
4648,City,8.0,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,2016-07-14,11:55:10,2016-07-14,12:59:34,11,Late Morning,Y
449,Airport,9.0,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:52:00,2016-07-11,09:08:00,2016-07-11,09:52:00,9,Late Morning,Y
846,Airport,9.0,Trip Completed,2016-07-11 17:46:00,2016-07-11 18:52:00,2016-07-11,17:46:00,2016-07-11,18:52:00,17,Evening,Y
1346,Airport,9.0,Trip Completed,2016-07-11 23:39:00,2016-07-12 00:23:00,2016-07-11,23:39:00,2016-07-12,00:23:00,23,Night,Y
1474,Airport,9.0,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:56:00,2016-07-12,05:13:00,2016-07-12,05:56:00,5,Morning,Y
2240,City,9.0,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:54:00,2016-07-12,18:20:00,2016-07-12,18:54:00,18,Evening,Y
3072,Airport,9.0,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,2016-07-13,08:04:57,2016-07-13,08:36:37,8,Morning,Y
3459,Airport,9.0,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,2016-07-13,17:03:30,2016-07-13,17:31:49,17,Evening,Y
3774,Airport,9.0,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,2016-07-13,20:41:24,2016-07-13,21:27:29,20,Evening,Y
4023,City,9.0,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,2016-07-13,23:58:41,2016-07-14,00:58:39,23,Night,Y
4117,City,9.0,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,2016-07-14,04:21:42,2016-07-14,05:07:07,4,Early Morning,Y
4880,Airport,9.0,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,2016-07-14,17:58:46,2016-07-14,19:02:42,17,Evening,Y
5568,Airport,9.0,Trip Completed,2016-07-15 05:47:49,2016-07-15 06:25:49,2016-07-15,05:47:49,2016-07-15,06:25:49,5,Morning,Y
5994,Airport,9.0,Trip Completed,2016-07-15 11:51:16,2016-07-15 12:32:12,2016-07-15,11:51:16,2016-07-15,12:32:12,11,Late Morning,Y
1809,Airport,10.0,Trip Completed,2016-07-12 09:13:00,2016-07-12 10:01:00,2016-07-12,09:13:00,2016-07-12,10:01:00,9,Late Morning,Y
2064,Airport,10.0,Trip Completed,2016-07-12 15:08:00,2016-07-12 16:14:00,2016-07-12,15:08:00,2016-07-12,16:14:00,15,Afternoon,Y
3210,City,10.0,Trip Completed,2016-07-13 09:47:06,2016-07-13 10:52:37,2016-07-13,09:47:06,2016-07-13,10:52:37,9,Late Morning,Y
4350,City,10.0,Trip Completed,2016-07-14 07:24:43,2016-07-14 08:22:09,2016-07-14,07:24:43,2016-07-14,08:22:09,7,Morning,Y
4713,City,10.0,Trip Completed,2016-07-14 13:31:24,2016-07-14 14:10:56,2016-07-14,13:31:24,2016-07-14,14:10:56,13,Afternoon,Y
5629,Airport,10.0,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:53,2016-07-15,06:33:00,2016-07-15,07:19:53,6,Morning,Y
6157,Airport,10.0,Trip Completed,2016-07-15 16:32:51,2016-07-15 17:44:44,2016-07-15,16:32:51,2016-07-15,17:44:44,16,Afternoon,Y
2030,City,11.0,Trip Completed,2016-07-12 14:11:00,2016-07-12 15:02:00,2016-07-12,14:11:00,2016-07-12,15:02:00,14,Afternoon,Y
3226,City,11.0,Trip Completed,2016-07-13 10:00:17,2016-07-13 11:02:52,2016-07-13,10:00:17,2016-07-13,11:02:52,10,Late Morning,Y
3353,City,11.0,Trip Completed,2016-07-13 13:29:44,2016-07-13 14:09:00,2016-07-13,13:29:44,2016-07-13,14:09:00,13,Afternoon,Y
4293,City,11.0,Trip Completed,2016-07-14 06:42:36,2016-07-14 07:12:41,2016-07-14,06:42:36,2016-07-14,07:12:41,6,Morning,Y
4936,City,11.0,Trip Completed,2016-07-14 18:22:17,2016-07-14 19:14:36,2016-07-14,18:22:17,2016-07-14,19:14:36,18,Evening,Y
5661,Airport,11.0,Trip Completed,2016-07-15 07:08:50,2016-07-15 07:59:00,2016-07-15,07:08:50,2016-07-15,07:59:00,7,Morning,Y
5778,City,11.0,Trip Completed,2016-07-15 08:22:03,2016-07-15 09:13:04,2016-07-15,08:22:03,2016-07-15,09:13:04,8,Morning,Y
6425,Airport,11.0,Trip Completed,2016-07-15 19:46:40,2016-07-15 20:26:51,2016-07-15,19:46:40,2016-07-15,20:26:51,19,Evening,Y
45,Airport,12.0,Trip Completed,2016-07-11 03:17:00,2016-07-11 04:09:00,2016-07-11,03:17:00,2016-07-11,04:09:00,3,Early Morning,Y
264,City,12.0,Trip Completed,2016-07-11 06:51:00,2016-07-11 07:40:00,2016-07-11,06:51:00,2016-07-11,07:40:00,6,Morning,Y
1183,City,12.0,Trip Completed,2016-07-11 21:05:00,2016-07-11 21:38:00,2016-07-11,21:05:00,2016-07-11,21:38:00,21,Night,Y
1536,Airport,12.0,Trip Completed,2016-07-12 05:59:00,2016-07-12 06:59:00,2016-07-12,05:59:00,2016-07-12,06:59:00,5,Morning,Y
2437,City,12.0,Trip Completed,2016-07-12 20:18:00,2016-07-12 21:26:00,2016-07-12,20:18:00,2016-07-12,21:26:00,20,Evening,Y
2641,Airport,12.0,Trip Completed,2016-07-12 22:28:00,2016-07-12 23:05:00,2016-07-12,22:28:00,2016-07-12,23:05:00,22,Night,Y
4077,Airport,12.0,Trip Completed,2016-07-14 02:14:15,2016-07-14 03:13:09,2016-07-14,02:14:15,2016-07-14,03:13:09,2,Early Morning,Y
4610,City,12.0,Trip Completed,2016-07-14 10:35:14,2016-07-14 11:39:01,2016-07-14,10:35:14,2016-07-14,11:39:01,10,Late Morning,Y
5066,Airport,12.0,Trip Completed,2016-07-14 19:31:20,2016-07-14 20:14:03,2016-07-14,19:31:20,2016-07-14,20:14:03,19,Evening,Y
5666,Airport,12.0,Trip Completed,2016-07-15 07:04:55,2016-07-15 08:12:37,2016-07-15,07:04:55,2016-07-15,08:12:37,7,Morning,Y
5923,City,12.0,Trip Completed,2016-07-15 10:07:49,2016-07-15 10:50:50,2016-07-15,10:07:49,2016-07-15,10:50:50,10,Late Morning,Y
6367,City,12.0,Trip Completed,2016-07-15 19:04:46,2016-07-15 19:46:04,2016-07-15,19:04:46,2016-07-15,19:46:04,19,Evening,Y
155,City,13.0,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:28:00,2016-07-11,05:32:00,2016-07-11,06:28:00,5,Morning,Y
310,Airport,13.0,Trip Completed,2016-07-11 07:24:00,2016-07-11 08:28:00,2016-07-11,07:24:00,2016-07-11,08:28:00,7,Morning,Y
607,City,13.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 12:42:00,2016-07-11,11:51:00,2016-07-11,12:42:00,11,Late Morning,Y
1012,City,13.0,Trip Completed,2016-07-11 19:15:00,2016-07-11 19:57:00,2016-07-11,19:15:00,2016-07-11,19:57:00,19,Evening,Y
1696,Airport,13.0,Trip Completed,2016-07-12 08:01:00,2016-07-12 08:42:00,2016-07-12,08:01:00,2016-07-12,08:42:00,8,Morning,Y
3076,City,13.0,Trip Completed,2016-07-13 08:09:04,2016-07-13 09:12:19,2016-07-13,08:09:04,2016-07-13,09:12:19,8,Morning,Y
4198,Airport,13.0,Trip Completed,2016-07-14 05:32:14,2016-07-14 06:45:32,2016-07-14,05:32:14,2016-07-14,06:45:32,5,Morning,Y
4627,City,13.0,Trip Completed,2016-07-14 11:13:19,2016-07-14 12:00:12,2016-07-14,11:13:19,2016-07-14,12:00:12,11,Late Morning,Y
5289,City,13.0,Trip Completed,2016-07-14 21:43:24,2016-07-14 22:24:13,2016-07-14,21:43:24,2016-07-14,22:24:13,21,Night,Y
5495,Airport,13.0,Trip Completed,2016-07-15 05:00:13,2016-07-15 06:02:27,2016-07-15,05:00:13,2016-07-15,06:02:27,5,Morning,Y
6656,Airport,13.0,Trip Completed,2016-07-15 22:08:42,2016-07-15 22:41:18,2016-07-15,22:08:42,2016-07-15,22:41:18,22,Night,Y
139,Airport,14.0,Trip Completed,2016-07-11 05:21:00,2016-07-11 06:09:00,2016-07-11,05:21:00,2016-07-11,06:09:00,5,Morning,Y
215,City,14.0,Trip Completed,2016-07-11 06:15:00,2016-07-11 07:07:00,2016-07-11,06:15:00,2016-07-11,07:07:00,6,Morning,Y
1816,City,14.0,Trip Completed,2016-07-12 09:24:00,2016-07-12 10:07:00,2016-07-12,09:24:00,2016-07-12,10:07:00,9,Late Morning,Y
2505,Airport,14.0,Trip Completed,2016-07-12 21:03:00,2016-07-12 22:14:00,2016-07-12,21:03:00,2016-07-12,22:14:00,21,Night,Y
3346,City,14.0,Trip Completed,2016-07-13 13:01:42,2016-07-13 13:55:59,2016-07-13,13:01:42,2016-07-13,13:55:59,13,Afternoon,Y
5294,City,14.0,Trip Completed,2016-07-14 21:45:50,2016-07-14 22:16:40,2016-07-14,21:45:50,2016-07-14,22:16:40,21,Night,Y
6226,Airport,14.0,Trip Completed,2016-07-15 17:34:25,2016-07-15 18:33:13,2016-07-15,17:34:25,2016-07-15,18:33:13,17,Evening,Y
6733,Airport,14.0,Trip Completed,2016-07-15 23:32:44,2016-07-16 00:37:46,2016-07-15,23:32:44,2016-07-16,00:37:46,23,Night,Y
1027,Airport,15.0,Trip Completed,2016-07-11 19:18:00,2016-07-11 20:24:00,2016-07-11,19:18:00,2016-07-11,20:24:00,19,Evening,Y
2675,Airport,15.0,Trip Completed,2016-07-12 23:43:00,2016-07-13 00:35:12,2016-07-12,23:43:00,2016-07-13,00:35:12,23,Night,Y
3200,City,15.0,Trip Completed,2016-07-13 09:39:44,2016-07-13 10:30:58,2016-07-13,09:39:44,2016-07-13,10:30:58,9,Late Morning,Y
3865,City,15.0,Trip Completed,2016-07-13 21:52:05,2016-07-13 22:21:15,2016-07-13,21:52:05,2016-07-13,22:21:15,21,Night,Y
4468,City,15.0,Trip Completed,2016-07-14 08:42:46,2016-07-14 09:22:01,2016-07-14,08:42:46,2016-07-14,09:22:01,8,Morning,Y
5163,Airport,15.0,Trip Completed,2016-07-14 20:34:30,2016-07-14 21:05:18,2016-07-14,20:34:30,2016-07-14,21:05:18,20,Evening,Y
6009,City,15.0,Trip Completed,2016-07-15 12:22:35,2016-07-15 13:25:27,2016-07-15,12:22:35,2016-07-15,13:25:27,12,Afternoon,Y
6448,Airport,15.0,Trip Completed,2016-07-15 20:02:54,2016-07-15 20:40:45,2016-07-15,20:02:54,2016-07-15,20:40:45,20,Evening,Y
591,City,16.0,Trip Completed,2016-07-11 11:25:00,2016-07-11 12:31:00,2016-07-11,11:25:00,2016-07-11,12:31:00,11,Late Morning,Y
709,City,16.0,Trip Completed,2016-07-11 14:16:00,2016-07-11 15:03:00,2016-07-11,14:16:00,2016-07-11,15:03:00,14,Afternoon,Y
1167,Airport,16.0,Trip Completed,2016-07-11 20:50:00,2016-07-11 21:52:00,2016-07-11,20:50:00,2016-07-11,21:52:00,20,Evening,Y
2661,Airport,16.0,Trip Completed,2016-07-12 23:23:00,2016-07-13 00:27:21,2016-07-12,23:23:00,2016-07-13,00:27:21,23,Night,Y
2808,City,16.0,Trip Completed,2016-07-13 05:05:16,2016-07-13 05:56:11,2016-07-13,05:05:16,2016-07-13,05:56:11,5,Morning,Y
3258,Airport,16.0,Trip Completed,2016-07-13 10:12:51,2016-07-13 10:45:28,2016-07-13,10:12:51,2016-07-13,10:45:28,10,Late Morning,Y
3413,Airport,16.0,Trip Completed,2016-07-13 15:32:01,2016-07-13 16:45:44,2016-07-13,15:32:01,2016-07-13,16:45:44,15,Afternoon,Y
3939,Airport,16.0,Trip Completed,2016-07-13 22:26:26,2016-07-13 22:55:54,2016-07-13,22:26:26,2016-07-13,22:55:54,22,Night,Y
4125,City,16.0,Trip Completed,2016-07-14 04:37:11,2016-07-14 05:46:29,2016-07-14,04:37:11,2016-07-14,05:46:29,4,Early Morning,Y
4457,City,16.0,Trip Completed,2016-07-14 08:36:24,2016-07-14 09:19:20,2016-07-14,08:36:24,2016-07-14,09:19:20,8,Morning,Y
4728,City,16.0,Trip Completed,2016-07-14 14:04:13,2016-07-14 15:06:40,2016-07-14,14:04:13,2016-07-14,15:06:40,14,Afternoon,Y
5347,Airport,16.0,Trip Completed,2016-07-14 22:51:47,2016-07-14 23:53:42,2016-07-14,22:51:47,2016-07-14,23:53:42,22,Night,Y
6147,City,16.0,Trip Completed,2016-07-15 16:11:02,2016-07-15 17:30:08,2016-07-15,16:11:02,2016-07-15,17:30:08,16,Afternoon,Y
6496,Airport,16.0,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:49,2016-07-15,20:33:00,2016-07-15,21:32:49,20,Evening,Y
634,City,17.0,Trip Completed,2016-07-11 12:25:00,2016-07-11 13:06:00,2016-07-11,12:25:00,2016-07-11,13:06:00,12,Afternoon,Y
939,Airport,17.0,Trip Completed,2016-07-11 18:25:00,2016-07-11 19:26:00,2016-07-11,18:25:00,2016-07-11,19:26:00,18,Evening,Y
2628,Airport,17.0,Trip Completed,2016-07-12 22:10:00,2016-07-12 23:25:00,2016-07-12,22:10:00,2016-07-12,23:25:00,22,Night,Y
3021,City,17.0,Trip Completed,2016-07-13 07:33:20,2016-07-13 08:26:07,2016-07-13,07:33:20,2016-07-13,08:26:07,7,Morning,Y
4743,City,17.0,Trip Completed,2016-07-14 14:54:16,2016-07-14 15:39:03,2016-07-14,14:54:16,2016-07-14,15:39:03,14,Afternoon,Y
4981,City,17.0,Trip Completed,2016-07-14 18:47:42,2016-07-14 19:43:44,2016-07-14,18:47:42,2016-07-14,19:43:44,18,Evening,Y
5367,Airport,17.0,Trip Completed,2016-07-14 23:35:34,2016-07-15 00:25:26,2016-07-14,23:35:34,2016-07-15,00:25:26,23,Night,Y
5471,Airport,17.0,Trip Completed,2016-07-15 04:48:57,2016-07-15 05:47:13,2016-07-15,04:48:57,2016-07-15,05:47:13,4,Early Morning,Y
5988,Airport,17.0,Trip Completed,2016-07-15 11:48:32,2016-07-15 12:55:02,2016-07-15,11:48:32,2016-07-15,12:55:02,11,Late Morning,Y
6477,Airport,17.0,Trip Completed,2016-07-15 20:21:26,2016-07-15 21:00:31,2016-07-15,20:21:26,2016-07-15,21:00:31,20,Evening,Y
499,City,18.0,Trip Completed,2016-07-11 09:39:00,2016-07-11 10:16:00,2016-07-11,09:39:00,2016-07-11,10:16:00,9,Late Morning,Y
1147,Airport,18.0,Trip Completed,2016-07-11 20:42:00,2016-07-11 21:18:00,2016-07-11,20:42:00,2016-07-11,21:18:00,20,Evening,Y
1410,Airport,18.0,Trip Completed,2016-07-12 03:14:00,2016-07-12 04:27:00,2016-07-12,03:14:00,2016-07-12,04:27:00,3,Early Morning,Y
1804,Airport,18.0,Trip Completed,2016-07-12 09:12:00,2016-07-12 09:57:00,2016-07-12,09:12:00,2016-07-12,09:57:00,9,Late Morning,Y
1949,Airport,18.0,Trip Completed,2016-07-12 11:32:00,2016-07-12 12:13:00,2016-07-12,11:32:00,2016-07-12,12:13:00,11,Late Morning,Y
2713,City,18.0,Trip Completed,2016-07-13 01:46:42,2016-07-13 02:37:08,2016-07-13,01:46:42,2016-07-13,02:37:08,1,Early Morning,Y
2845,City,18.0,Trip Completed,2016-07-13 05:28:29,2016-07-13 06:10:40,2016-07-13,05:28:29,2016-07-13,06:10:40,5,Morning,Y
3943,Airport,18.0,Trip Completed,2016-07-13 22:35:38,2016-07-13 23:33:20,2016-07-13,22:35:38,2016-07-13,23:33:20,22,Night,Y
4792,City,18.0,Trip Completed,2016-07-14 16:47:15,2016-07-14 17:34:39,2016-07-14,16:47:15,2016-07-14,17:34:39,16,Afternoon,Y
5207,Airport,18.0,Trip Completed,2016-07-14 20:57:41,2016-07-14 21:56:21,2016-07-14,20:57:41,2016-07-14,21:56:21,20,Evening,Y
5890,City,18.0,Trip Completed,2016-07-15 09:43:57,2016-07-15 10:55:22,2016-07-15,09:43:57,2016-07-15,10:55:22,9,Late Morning,Y
494,City,19.0,Trip Completed,2016-07-11 09:36:00,2016-07-11 10:02:00,2016-07-11,09:36:00,2016-07-11,10:02:00,9,Late Morning,Y
